User,compound,date,negative,neutral,positive,screen_name,text,tweet_id
@BBCNews,0.3612,Fri Oct 05 16:08:25 +0000 2018,0.0,0.8,0.2,MikeOatham,@bloodless_coup @Shelgas @BBCNews Thank you for the heads up. I shall delete.,72
@BBCNews,-0.6908,Fri Oct 05 16:08:11 +0000 2018,0.299,0.701,0.0,News_Resource,RT @BBCNews: Cristiano Ronaldo rape allegation: Las Vegas police reopen case https://t.co/kI3RAefbr1,71
@BBCNews,-0.6486,Fri Oct 05 16:08:10 +0000 2018,0.261,0.739,0.0,Blessin404,"RT @ChuckDalldorf: Zimbabwe ordered to pay $150,000 over torture case https://t.co/cPM1OqouJx via @BBCNews #Zimbabwe #courts #torture #prot…",70
@BBCNews,-0.5106,Fri Oct 05 16:07:44 +0000 2018,0.29,0.549,0.161,1986fxwg,"@BBCNews Great idea @GavinWilliamson and Jeremy Hunt . . . let's start a world war with Russia, kills, millions of… https://t.co/ddtyk24Q3I",69
@BBCNews,0.0,Fri Oct 05 16:07:26 +0000 2018,0.0,1.0,0.0,steveb4u,"RT @HuntedTeamNick: So, according to  @BBCNews The Russians have attempted to hack virtually everything, EXCEPT ‘Brexit’ ... ?

Russia GRU…",68
@BBCNews,-0.0772,Fri Oct 05 16:06:50 +0000 2018,0.14,0.86,0.0,PaulMorris7777,"@BBCNews But, but, Wales voted to leave the EU.",67
@BBCNews,0.7125,Fri Oct 05 16:06:44 +0000 2018,0.0,0.619,0.381,bhattacharjec,@UJJALDA91944299 @PMOIndia @MamataOfficial @BBCNews @TheEconomist @Bangabhaban I AM LOVE HIM,66
@BBCNews,0.5766,Fri Oct 05 16:06:31 +0000 2018,0.0,0.763,0.237,vestonash,"RT @Patriot_swe: @BBCNews HAHA, DD FORM 2329

#qanon #svpol #maga #Qanon @ROYALMRBADNEWS https://t.co/CE2TjBpZJ2",65
@BBCNews,0.0772,Fri Oct 05 16:06:06 +0000 2018,0.0,0.874,0.126,penguindonkey,@BBCNews If that's what they want then go for it,64
@BBCNews,0.2023,Fri Oct 05 16:06:05 +0000 2018,0.0,0.917,0.083,IvanAlman,"RT @peterjukes: Dear @BBCNews this is becoming unsustainable: CNN, CBC and the Atlantic Council covering this extensively.  But NOT ONE rep…",63
@BBCNews,0.0,Fri Oct 05 16:06:04 +0000 2018,0.0,1.0,0.0,limey1945,RT @willcpowell: @cpskeetmom @AnthonysJustice @YVMatters @phsothefacts @RightsTruth @alexander_minh @DanielBayley80 @C7RKY @stendec6 @neilg…,62
@BBCNews,0.0,Fri Oct 05 16:05:56 +0000 2018,0.0,1.0,0.0,Celticanz,RT @BBCNews: Independence on the table after #Brexit - Plaid's Price https://t.co/01Tk6XMRjb,61
@BBCNews,0.1779,Fri Oct 05 16:05:51 +0000 2018,0.0,0.825,0.175,News_Resource,RT @BBCNews: Amazon raises wages for lower-paid workers https://t.co/BLz4kVdYR3,60
@BBCNews,0.0,Fri Oct 05 16:05:48 +0000 2018,0.0,1.0,0.0,BiddleIan,RT @RealityUK_2016: @Alfster11 @timbirt @carolecadwalla @ObserverUK @thesundaytimes @nytimes @washingtonpost @openDemocracy @Channel4News @…,59
@BBCNews,0.6124,Fri Oct 05 16:05:44 +0000 2018,0.0,0.808,0.192,john_carins,@BBCNews Well that is their USP.  Upping their independence call will lead to their diminution. A good thing if you believe in the UK.,58
@BBCNews,0.4588,Fri Oct 05 16:05:44 +0000 2018,0.0,0.8,0.2,SlickTrick14,"RT @logicalerror: @BBCNews @EpicChambers I, for one, welcome the new Queen of Sweden",57
@BBCNews,0.0,Fri Oct 05 16:05:34 +0000 2018,0.0,1.0,0.0,WesLennon,@BBCNews Is the U.K. going to buy Russian oil and gas? Germany announced this week that they will continue with the… https://t.co/rsAMr2aKL0,56
@BBCNews,0.0,Fri Oct 05 16:05:29 +0000 2018,0.0,1.0,0.0,SlickTrick14,RT @IFoxzy: @BBCNews She is the chosen one!,55
@BBCNews,-0.5267,Fri Oct 05 16:05:27 +0000 2018,0.176,0.781,0.043,PerinatalHospic,"RT @morris_ep: https://t.co/eSk9BfetQ4. If you work in maternity, no matter what your job is, you will have met families who have lost a ba…",54
@BBCNews,0.0,Fri Oct 05 16:05:25 +0000 2018,0.0,1.0,0.0,SlickTrick14,RT @MESalisbury: @BBCNews CROWN HER.,53
@BBCNews,0.0,Fri Oct 05 16:05:21 +0000 2018,0.0,1.0,0.0,Koippari61,RT @BBCNews: Independence on the table after #Brexit - Plaid's Price https://t.co/01Tk6XMRjb,52
@BBCNews,0.2023,Fri Oct 05 16:05:21 +0000 2018,0.144,0.678,0.178,MrsRAllen,"RT @BBCNews: “Brexit poses the greatest existential threat of our generation, to the agriculture sector” - @Adamprice addresses @Plaid_Cymr…",51
@BBCNews,0.7783,Fri Oct 05 16:05:20 +0000 2018,0.0,0.638,0.362,LilianPerez_G,Nobel Peace Prize for anti-rape activists Nadia Murad and Denis Mukwege https://t.co/rBvxI0WHAZ via @BBCNews,50
@BBCNews,0.0,Fri Oct 05 16:05:19 +0000 2018,0.0,1.0,0.0,JohnChapman2015,RT @RealityUK_2016: @Alfster11 @timbirt @carolecadwalla @ObserverUK @thesundaytimes @nytimes @washingtonpost @openDemocracy @Channel4News @…,49
@BBCNews,0.4939,Fri Oct 05 16:05:08 +0000 2018,0.086,0.703,0.211,SlickTrick14,"RT @CACuriousThing1: @gobslab @BBCNews No.  She has found a national treasure for her country, so she should be rewarded with some treasure…",48
@BBCNews,0.0,Fri Oct 05 16:05:06 +0000 2018,0.0,1.0,0.0,marionste,RT @ang__johnson: @stendec6 @cpskeetmom @willcpowell @AnthonysJustice @YVMatters @phsothefacts @RightsTruth @alexander_minh @DanielBayley80…,47
@BBCNews,0.4576,Fri Oct 05 16:04:50 +0000 2018,0.0,0.875,0.125,SlickTrick14,RT @CACuriousThing1: @BBCNews This is quite interesting because the ancient Celts  used to throw swords and shiny things into lakes and riv…,46
@BBCNews,0.0,Fri Oct 05 16:04:33 +0000 2018,0.0,1.0,0.0,ZadahOumar,RT @BBCNews: Second Brit dies after 'Brazilian butt lift' surgery https://t.co/sNEnGvczWr,45
@BBCNews,0.8126,Fri Oct 05 16:04:21 +0000 2018,0.0,0.682,0.318,spunkybumbubble,@BBCNews I worked my arse off all week and am now enjoying a well earned pint. Do I think it tastes better because… https://t.co/6DNTXMqnxr,44
@BBCNews,0.2023,Fri Oct 05 16:04:18 +0000 2018,0.144,0.678,0.178,WalshHeyjude,"RT @BBCNews: “Brexit poses the greatest existential threat of our generation, to the agriculture sector” - @Adamprice addresses @Plaid_Cymr…",43
@BBCNews,0.2023,Fri Oct 05 16:04:11 +0000 2018,0.144,0.678,0.178,Kean1S,"RT @BBCNews: “Brexit poses the greatest existential threat of our generation, to the agriculture sector” - @Adamprice addresses @Plaid_Cymr…",42
@BBCNews,0.0,Fri Oct 05 16:04:09 +0000 2018,0.0,1.0,0.0,SlickTrick14,RT @KidTempo: @Wendxii @dabe1971 @BBCNews @NotMichaelPalin https://t.co/aVCHhGaRDx,41
@BBCNews,0.5766,Fri Oct 05 16:04:07 +0000 2018,0.0,0.763,0.237,DinsleyRodrigu2,"RT @Patriot_swe: @BBCNews HAHA, DD FORM 2329

#qanon #svpol #maga #Qanon @ROYALMRBADNEWS https://t.co/CE2TjBpZJ2",40
@BBCNews,-0.34,Fri Oct 05 16:04:07 +0000 2018,0.211,0.789,0.0,BakriSaif2,RT @BBCNews: Sexual offences up 16% on British railways https://t.co/np5ReGgq3X,39
@BBCNews,-0.032,Fri Oct 05 16:04:06 +0000 2018,0.109,0.787,0.104,barclaymason8,"RT @K9Finn: #Finnslaw is a campaign which started after #FabulousFinn was stabbed whilst on duty on 5th Oct 2016🐾

This is NOT criminal dam…",38
@BBCNews,-0.8395,Fri Oct 05 16:04:00 +0000 2018,0.258,0.742,0.0,Kean1S,RT @esme_hornbeam: Rob the @BBC has been running Brexit adverts !! In what world is that impartiality? Not one mention of Brexit fraud in y…,37
@BBCNews,-0.5859,Fri Oct 05 16:03:58 +0000 2018,0.211,0.789,0.0,SlickTrick14,"RT @Wendxii: @dabe1971 @BBCNews @NotMichaelPalin I disagree, looking at the shower we've got at the moment an aquatic weapon distribution b…",36
@BBCNews,0.0,Fri Oct 05 16:03:54 +0000 2018,0.0,1.0,0.0,bloodless_coup,@MikeOatham @Shelgas @BBCNews DEBUNKED. *LAST YEAR*.,35
@BBCNews,-0.8591,Fri Oct 05 16:03:51 +0000 2018,0.358,0.642,0.0,Venezuelade7,"RT @WellingMichael: Venezuela Protests #5Oct “Maduro, coward, murderer of students” are shouted outside Ministry of Labour in Caracas as wo…",34
@BBCNews,-0.8591,Fri Oct 05 16:03:41 +0000 2018,0.358,0.642,0.0,CH_ABISMO,"RT @WellingMichael: Venezuela Protests #5Oct “Maduro, coward, murderer of students” are shouted outside Ministry of Labour in Caracas as wo…",33
@BBCNews,-0.6486,Fri Oct 05 16:03:29 +0000 2018,0.346,0.654,0.0,News_Resource,RT @BBCNews: Woman snaps suspected Bournemouth thief sitting in her car https://t.co/coSfp4pv9l,32
@BBCNews,0.0,Fri Oct 05 16:03:12 +0000 2018,0.0,1.0,0.0,NYCRodney,"RT @imgoingtoduck: @BBCNews ""DECLAS COMING?
NARRATIVE SHIFT IN FULL FORCE.
UK / AUS ASSISTED ROGUE ELEMENTS OF THE US GOV'T TO TAKE DOWN A…",31
@BBCNews,-0.1531,Fri Oct 05 16:03:00 +0000 2018,0.131,0.763,0.106,themarkvipond,"@BBCNews So being ""at the mercy"" of elected representatives in our own sovereign Parliament is somehow much worse t… https://t.co/uDfAxfyUI7",30
@BBCNews,-0.6486,Fri Oct 05 16:02:59 +0000 2018,0.325,0.675,0.0,MacyQuinny,"RT @Hillchaser: Zimbabwe ordered to pay $150,000 over torture case https://t.co/PGANAhFzo2 via @BBCNews",29
@BBCNews,-0.8591,Fri Oct 05 16:02:56 +0000 2018,0.358,0.642,0.0,RguerraRafael,"RT @WellingMichael: Venezuela Protests #5Oct “Maduro, coward, murderer of students” are shouted outside Ministry of Labour in Caracas as wo…",28
@BBCNews,0.4019,Fri Oct 05 16:02:42 +0000 2018,0.0,0.87,0.13,DrNostromo,RT @KevinPascoe: New research finds major inaccuracies and distortions in media coverage of antisemitism and the Labour Party - particularl…,27
@BBCNews,-0.0772,Fri Oct 05 16:02:33 +0000 2018,0.075,0.925,0.0,WobblyDjeli,"RT @BBCNews: Armed police officer left with serious head injuries after he was ""deliberately driven at"" https://t.co/hPbc4oxc4B",26
@BBCNews,0.2023,Fri Oct 05 16:02:13 +0000 2018,0.144,0.678,0.178,pjwoodside,"RT @BBCNews: “Brexit poses the greatest existential threat of our generation, to the agriculture sector” - @Adamprice addresses @Plaid_Cymr…",25
@BBCNews,0.5106,Fri Oct 05 16:02:08 +0000 2018,0.089,0.701,0.21,VictorQuotek,"RT @BBCNews: ""I felt pretty much like actually I didn't exist"" - Keira Knightley reveals mental breakdown and PTSD as she struggled with su…",24
@BBCNews,-0.4874,Fri Oct 05 16:02:05 +0000 2018,0.159,0.841,0.0,roblwilson,RT @StFilansDream: Not sure I believe @BBCNews story that 20% fall in UK car sales solely due to “emissions regs”. No data given about sale…,23
@BBCNews,0.2263,Fri Oct 05 16:01:53 +0000 2018,0.14,0.633,0.226,alllibertynews,"RT @cypressbill1980: I think this Brexit jargon guide must be broken
please help me @BorisJohnson  @Nigel_Farage 
@BBCNews @Revsimonsideway…",22
@BBCNews,0.4588,Fri Oct 05 16:01:49 +0000 2018,0.0,0.4,0.6,Geryonsback,@BBCNews No-one cares.,21
@BBCNews,0.6697,Fri Oct 05 16:01:48 +0000 2018,0.0,0.766,0.234,stevepearce8,"@BBCNews Andrew Griffiths, our MP was quite active on FB. It seems like we're unrepresented now.  I guess being a m… https://t.co/xzkzItqzqG",20
@BBCNews,0.0,Fri Oct 05 16:01:34 +0000 2018,0.0,1.0,0.0,muppetcycle,RT @BBCNews: Independence on the table after #Brexit - Plaid's Price https://t.co/01Tk6XMRjb,19
@BBCNews,0.4019,Fri Oct 05 16:01:32 +0000 2018,0.0,0.526,0.474,ajcrompton1,@mediawhizz At @bbcnews? Yes.,18
@BBCNews,0.0,Fri Oct 05 16:01:23 +0000 2018,0.0,1.0,0.0,marc1705,RT @PabloBach: Zambia returns $3.5m to UK government https://t.co/uAhhwGpi7j via @BBCNews,17
@BBCNews,0.0,Fri Oct 05 16:01:22 +0000 2018,0.0,1.0,0.0,PolymathUK,RT @BBCNews: Independence on the table after #Brexit - Plaid's Price https://t.co/01Tk6XMRjb,16
@BBCNews,0.5859,Fri Oct 05 16:01:18 +0000 2018,0.0,0.758,0.242,MaxxiNikko,"@OpenToInfluence @kimasabe @BBCNews Aha, ""even if"" you're innocent, not ""even though"" you're innocent? So you admit… https://t.co/xFo6PW5WJ6",15
@BBCNews,0.0,Fri Oct 05 16:01:18 +0000 2018,0.0,1.0,0.0,News_Resource,"RT @BBCNews: He was on a trunk road 🍃

https://t.co/w8il0AqAsW",14
@BBCNews,-0.8591,Fri Oct 05 16:01:10 +0000 2018,0.388,0.612,0.0,WellingMichael,"Venezuela Protests #5Oct “Maduro, coward, murderer of students” are shouted outside Ministry of Labour in Caracas a… https://t.co/Phb3KEru1p",13
@BBCNews,0.0,Fri Oct 05 16:01:04 +0000 2018,0.0,1.0,0.0,PaoliMichele,@BBCBreaking @BBCNews #StopBrexitSaveBritain #PeoplesVote https://t.co/Rn1m5KfNBT,12
@BBCNews,-0.5859,Fri Oct 05 16:01:01 +0000 2018,0.322,0.678,0.0,spunkybumbubble,@BBCNews 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂  Is that all they have got ffs.,11
@BBCNews,0.3612,Fri Oct 05 16:00:55 +0000 2018,0.0,0.872,0.128,WalshHeyjude,RT @trevorw1953: @cmon111 @retireenjoy @LazyOptimizer @BBCNews Exactly. The reason many British employers like to employ youngsters from th…,10
@BBCNews,0.0,Fri Oct 05 16:00:44 +0000 2018,0.0,1.0,0.0,NHScorrupt,RT @willcpowell: @AnthonysJustice @cpskeetmom @YVMatters @phsothefacts @RightsTruth @alexander_minh @DanielBayley80 @C7RKY @stendec6 @neilg…,9
@BBCNews,0.0,Fri Oct 05 16:00:25 +0000 2018,0.0,1.0,0.0,Taalatleet1,"@BBCNews Ja, ze zijn het aloude
bangstsyndroom voor Rusland aardig aan het voeden!",8
@BBCNews,0.2263,Fri Oct 05 16:00:22 +0000 2018,0.154,0.597,0.249,cypressbill1980,"I think this Brexit jargon guide must be broken
please help me @BorisJohnson  @Nigel_Farage 
@BBCNews… https://t.co/QJxMi8th02",7
@BBCNews,-0.4767,Fri Oct 05 16:00:17 +0000 2018,0.205,0.795,0.0,FatihCankayaFB,"RT @jcjrcottrell: You spelt California wrong @BBCNews 
#justsaying #bbcnews #bbc #California #CaliforniaWildfires https://t.co/WkbjrGLE5l",6
@BBCNews,-0.5719,Fri Oct 05 16:00:15 +0000 2018,0.236,0.764,0.0,WobblyDjeli,"RT @BBCNews: ""Filthy"", ""scumbags"" - Anger after a Snowdonia peak is vandalised with graffiti https://t.co/xBIc7UZiJ2",5
@BBCNews,0.5766,Fri Oct 05 16:00:13 +0000 2018,0.0,0.763,0.237,EyeGloArts,"RT @Patriot_swe: @BBCNews HAHA, DD FORM 2329

#qanon #svpol #maga #Qanon @ROYALMRBADNEWS https://t.co/CE2TjBpZJ2",4
@BBCNews,0.0,Fri Oct 05 16:00:13 +0000 2018,0.0,1.0,0.0,notiven,RT: @bbcnews :Independence on the table after #Brexit - Plaid's Price https://t.co/7m68BG0Grp,3
@BBCNews,0.4767,Fri Oct 05 16:00:12 +0000 2018,0.0,0.744,0.256,notiven,RT: @bbcnews :Have the Tories improved on social media? https://t.co/djFSVoK5GI,2
@BBCNews,0.0,Fri Oct 05 16:00:11 +0000 2018,0.0,1.0,0.0,ECIU_UK,Injunction seeks to halt start of #fracking at Lancashire site https://t.co/3R5SQTDXVn via @BBCNews,1
@CBSNews,0.0,Fri Oct 05 16:11:04 +0000 2018,0.0,1.0,0.0,jgburginsr,@ABC @NBCNews @CBSNews @CNN @FoxNews @OANN @USATODAY @MSNBC @facebook https://t.co/foyKxr4GrN,100
@CBSNews,-0.7003,Fri Oct 05 16:11:04 +0000 2018,0.266,0.734,0.0,Twitler_1984,"RT @PamelaGeller: .@realDonaldTrump effect: The unemployment rate has DROPPED AGAIN to 3.7%.
The unemployment rate under @BarackObama reach…",99
@CBSNews,0.0,Fri Oct 05 16:11:02 +0000 2018,0.0,1.0,0.0,AmericanChauvi1,@juliebeth @CBSNews I do and again none of them can even place kavanaugh and ford in the same room at the same time… https://t.co/3wRTBbPG59,98
@CBSNews,0.3612,Fri Oct 05 16:10:56 +0000 2018,0.0,0.894,0.106,CVMINC,RT @CBSNews: “They have encouraged mob rule”: Sen. Grassley says the “resistance that has existed” since the 2016 election is “centered rig…,97
@CBSNews,0.3612,Fri Oct 05 16:10:56 +0000 2018,0.0,0.894,0.106,JD_IV_EVR,RT @CBSNews: “They have encouraged mob rule”: Sen. Grassley says the “resistance that has existed” since the 2016 election is “centered rig…,96
@CBSNews,-0.296,Fri Oct 05 16:10:47 +0000 2018,0.121,0.879,0.0,saintj1,@CBSNews @CBSThisMorning @SenatorDurbin @dansenor No none in their right mind would wllingly place this nominee in… https://t.co/VUZCh4Y4eq,95
@CBSNews,0.7351,Fri Oct 05 16:10:30 +0000 2018,0.0,0.721,0.279,kjfriend2,RT @CBSNews: Waitress pitches in to help with fussy toddler so mother can eat in peace https://t.co/PhZz7JzbYU https://t.co/5U2lbXXsy9,94
@CBSNews,-0.2585,Fri Oct 05 16:10:26 +0000 2018,0.092,0.908,0.0,katurinaa,RT @CBSNews: RESCUING ROSCO: A family thought their little dog was lost forever – then workers at a nearby water plant heard barking coming…,93
@CBSNews,0.25,Fri Oct 05 16:10:26 +0000 2018,0.104,0.743,0.153,prepperbot,RT @AR10_Fan: #Mueller's showboat indictment of #Russians puts US intelligence at risk. #MAGA #Kavanaugh #KavanaughConfirmation #Russia #De…,92
@CBSNews,0.0,Fri Oct 05 16:10:21 +0000 2018,0.0,1.0,0.0,jgburginsr,@ABC @NBCNews @CBSNews @CNN @FoxNews @OANN @USATODAY @MSNBC @facebook https://t.co/mFwep2OmMr,91
@CBSNews,0.4215,Fri Oct 05 16:10:08 +0000 2018,0.0,0.859,0.141,kjfriend2,RT @CBSNews: Dog rescued after spending a week floating on couch in flooded home after Hurricane Florence https://t.co/mnjSoSs9UV https://t…,90
@CBSNews,0.2732,Fri Oct 05 16:10:06 +0000 2018,0.0,0.896,0.104,smartthumb,"RT @V_Newt84: @emcarlin68 @smartthumb @chelsearolfe @CBSNews Agreed. Some survivors come forward immediately, and some keep it on for decad…",89
@CBSNews,-0.8591,Fri Oct 05 16:09:56 +0000 2018,0.358,0.642,0.0,AlbertoGaudio1,"RT @WellingMichael: Venezuela Protests #5Oct “Maduro, coward, murderer of students” are shouted outside Ministry of Labour in Caracas as wo…",88
@CBSNews,0.0,Fri Oct 05 16:09:56 +0000 2018,0.0,1.0,0.0,NoUseForTrump,.@realDonaldTrump @VP @SHSanders45 @SpeakerRyan @SenateMajLdr @HouseGOP @SenateGOP @FoxNews @BreitbartNews… https://t.co/TMc7QPooLh,87
@CBSNews,-0.5574,Fri Oct 05 16:09:21 +0000 2018,0.195,0.805,0.0,Marv2Marvin,"@CBSNews And make no mistake, they will bring him in with precision policing skills and will buy him a sandwich on… https://t.co/AcGoYxADMG",86
@CBSNews,-0.4019,Fri Oct 05 16:09:18 +0000 2018,0.192,0.712,0.096,OhMyCelestleL,@CBSNews What a slimeball after being the party of smear and defame he's got guts to stand there and say that. He's a dirty 🐀.,85
@CBSNews,-0.7003,Fri Oct 05 16:09:15 +0000 2018,0.266,0.734,0.0,ocean19520,"RT @PamelaGeller: .@realDonaldTrump effect: The unemployment rate has DROPPED AGAIN to 3.7%.
The unemployment rate under @BarackObama reach…",84
@CBSNews,0.6369,Fri Oct 05 16:09:11 +0000 2018,0.0,0.826,0.174,El_Fenix,"RT @CBSNews: INCREDIBLE: People are ""falling"" in love with these colorful autumn leaves captured by a drone flying high above Utah's Ogden…",83
@CBSNews,0.7906,Fri Oct 05 16:09:04 +0000 2018,0.0,0.733,0.267,cmaglietta,RT @CBSNews: Sen. Mitch McConnell: “Every effort was made to ensure that the fact-free verdict of the mob and the media would win out over…,82
@CBSNews,0.0,Fri Oct 05 16:09:02 +0000 2018,0.0,1.0,0.0,smartthumb,RT @V_Newt84: @emcarlin68 @smartthumb @chelsearolfe @CBSNews Dr. Ford went to WaPo before Kav was picked. She went when he was still on a l…,81
@CBSNews,0.0,Fri Oct 05 16:09:01 +0000 2018,0.0,1.0,0.0,jgburginsr,@ABC @NBCNews @CBSNews @CNN @FoxNews @OANN @USATODAY @MSNBC @facebook https://t.co/HxBx4Qw9de,80
@CBSNews,-0.8074,Fri Oct 05 16:08:51 +0000 2018,0.283,0.717,0.0,sanbernman,RT @CBSNews: BREAKING: The manhunt for Kirby Wallace has ended. The man accused of killing one person and seriously another is now in polic…,79
@CBSNews,0.0,Fri Oct 05 16:08:51 +0000 2018,0.0,1.0,0.0,sucnyjk,"RT @BTS_Thailand: ที่มา : https://t.co/o0ekb1805y
ลิ้งค์ข่าวจาก @CBSNews :  https://t.co/YE6HLkoaPK",78
